Memory Length,4000,
Trigger Level,-1.20000e+02,
Source,CH2,
Probe,1.0X,
Vertical Units,V,
Vertical Scale,1.00000e+00,
Vertical Position,0.00000e+00,
Horizontal Units,S,
Horizontal Scale,1.00000e-02,
Horizontal Position,0.0000000e+00,
Horizontal Mode,Main,
Sampling Period,4.00000e-05,
Firmware,V1.14,
Time, ,
Mode,Fast,
Waveform Data,
5,
5,
16,
16,
16,
22,
22,
30,
30,
38,
38,
42,
53,
50,
50,
51,
51,
58,
58,
58,
58,
58,
58,
59,
59,
56,
56,
53,
53,
50,
50,
42,
42,
35,
35,
28,
28,
21,
21,
12,
12,
3,
3,
-3,
-3,
-10,
-24,
-22,
-33,
-31,
-31,
-36,
-36,
-43,
-43,
-48,
-48,
-50,
-50,
-54,
-54,
-56,
-56,
-56,
-56,
-54,
-54,
-55,
-55,
-48,
-48,
-48,
-37,
-38,
-38,
-30,
-30,
-23,
-23,
-18,
-18,
-10,
-10,
-1,
12,
10,
10,
18,
18,
27,
27,
32,
32,
41,
41,
47,
47,
52,
52,
55,
55,
56,
56,
58,
58,
58,
58,
56,
56,
54,
54,
52,
52,
48,
48,
44,
44,
34,
34,
28,
16,
17,
17,
12,
12,
2,
-9,
-8,
-8,
-16,
-27,
-26,
-26,
-35,
-35,
-37,
-37,
-43,
-43,
-48,
-48,
-55,
-55,
-53,
-53,
-56,
-56,
-58,
-58,
-54,
-54,
-53,
-53,
-47,
-47,
-46,
-34,
-34,
-34,
-32,
-21,
-22,
-11,
-12,
0,
-2,
-2,
5,
5,
12,
24,
23,
23,
29,
29,
32,
45,
45,
45,
49,
49,
52,
52,
56,
56,
58,
58,
59,
59,
57,
57,
58,
58,
54,
54,
52,
52,
44,
44,
38,
38,
34,
23,
26,
26,
16,
5,
7,
7,
-1,
-1,
-9,
-22,
-20,
-31,
-30,
-30,
-32,
-32,
-42,
-42,
-47,
-47,
-49,
-49,
-53,
-53,
-53,
-53,
-56,
-56,
-55,
-55,
-52,
-52,
-53,
-53,
-48,
-48,
-40,
-40,
-33,
-33,
-28,
-17,
-18,
-18,
-12,
-12,
-4,
7,
5,
16,
13,
24,
22,
22,
30,
30,
40,
40,
47,
47,
51,
51,
52,
52,
58,
58,
59,
59,
58,
58,
58,
58,
55,
55,
53,
53,
50,
50,
44,
44,
36,
36,
28,
28,
21,
21,
13,
13,
3,
3,
-6,
-6,
-10,
-23,
-22,
-22,
-30,
-30,
-38,
-38,
-42,
-42,
-47,
-47,
-51,
-51,
-53,
-53,
-57,
-57,
-58,
-58,
-53,
-53,
-54,
-54,
-48,
-48,
-45,
-45,
-38,
-38,
-34,
-22,
-23,
-23,
-16,
-16,
-11,
2,
0,
0,
6,
17,
15,
26,
25,
25,
32,
32,
38,
38,
45,
45,
50,
50,
54,
54,
58,
58,
56,
56,
60,
60,
58,
58,
56,
56,
50,
50,
46,
46,
41,
41,
34,
34,
26,
26,
19,
8,
10,
10,
3,
-8,
-6,
-17,
-16,
-27,
-26,
-26,
-31,
-42,
-36,
-48,
-43,
-43,
-51,
-51,
-53,
-53,
-55,
-55,
-56,
-56,
-56,
-56,
-52,
-52,
-52,
-52,
-49,
-49,
-43,
-43,
-39,
-39,
-30,
-30,
-24,
-13,
-13,
-13,
-7,
4,
4,
15,
13,
13,
22,
22,
29,
29,
34,
34,
43,
43,
47,
47,
55,
55,
54,
54,
56,
56,
58,
58,
58,
58,
57,
57,
54,
54,
48,
48,
44,
44,
40,
28,
31,
31,
26,
13,
14,
2,
8,
-4,
-3,
-3,
-9,
-21,
-21,
-21,
-26,
-26,
-33,
-44,
-40,
-40,
-46,
-46,
-51,
-51,
-52,
-52,
-56,
-56,
-58,
-58,
-54,
-54,
-55,
-55,
-49,
-49,
-45,
-45,
-43,
-43,
-36,
-24,
-28,
-28,
-19,
-19,
-14,
-1,
-2,
-2,
4,
16,
14,
25,
20,
31,
29,
29,
36,
36,
44,
44,
50,
50,
53,
53,
55,
55,
59,
59,
59,
59,
58,
58,
53,
53,
56,
56,
48,
48,
42,
42,
39,
39,
32,
20,
21,
21,
13,
2,
3,
3,
-6,
-6,
-13,
-25,
-22,
-22,
-32,
-32,
-39,
-39,
-39,
-39,
-46,
-46,
-52,
-52,
-54,
-54,
-56,
-56,
-56,
-56,
-54,
-54,
-53,
-53,
-49,
-49,
-47,
-47,
-41,
-30,
-31,
-31,
-28,
-16,
-16,
-16,
-9,
-9,
0,
0,
10,
10,
18,
18,
26,
26,
33,
33,
39,
39,
47,
47,
53,
53,
54,
54,
55,
55,
59,
59,
59,
59,
56,
56,
54,
54,
49,
49,
47,
47,
40,
40,
30,
30,
24,
24,
19,
19,
11,
11,
6,
-7,
-7,
-7,
-15,
-15,
-23,
-23,
-30,
-30,
-38,
-38,
-44,
-44,
-49,
-49,
-54,
-54,
-56,
-56,
-55,
-55,
-56,
-56,
-52,
-52,
-54,
-54,
-47,
-47,
-45,
-33,
-35,
-35,
-32,
-20,
-24,
-12,
-13,
-13,
-8,
6,
4,
4,
10,
23,
20,
32,
28,
39,
39,
39,
44,
44,
49,
49,
54,
54,
56,
56,
58,
58,
60,
60,
58,
58,
56,
56,
58,
58,
51,
51,
44,
44,
35,
35,
30,
30,
26,
15,
19,
4,
6,
-5,
-2,
-2,
-8,
-21,
-17,
-17,
-26,
-26,
-35,
-35,
-39,
-39,
-45,
-45,
-51,
-51,
-54,
-54,
-55,
-55,
-56,
-56,
-58,
-58,
-52,
-52,
-49,
-49,
-43,
-43,
-40,
-40,
-34,
-34,
-28,
-28,
-20,
-20,
-11,
0,
-1,
-1,
7,
7,
15,
15,
24,
